assign_seconds,build_seconds,combined_score_lower_is_better,dataset,imbalance_k2,k1,k2,locality_k2,method,movement,n,python_peak_memory_kib,seed
7.691700011491776e-05,0.00913720901007764,0.178026201580222,diagonal,1.252,16,20,0.0062804479560489,rdt_stable,0.1248,5000,26911.703125,2
0.0011481250112410635,0.0,1.2627540061333509,diagonal,1.096,16,20,0.9963422358518907,modulo_hash,0.7952,5000,26911.703125,2
0.07787470798939466,0.0,0.6760530353756967,diagonal,1.168,16,20,0.9970067452793261,jump_hash,0.1938,5000,26911.703125,2
0.4401075000059791,0.0,0.6630654145292525,diagonal,1.088,16,20,0.9974786989538942,rendezvous_hash,0.1966,5000,26911.703125,2
0.053641541016986594,0.0,0.734521487818621,diagonal,1.32,16,20,0.9962699729302688,virtual_node_hash,0.2222,5000,26911.703125,2
0.0005778330087196082,0.0,0.938731889932542,diagonal,1.6896,16,20,0.027581977627871013,grid,0.7884,5000,26911.703125,2
0.001267292012926191,0.0,0.8773406286474391,diagonal,1.0,16,20,0.004756952549864825,morton_sort,0.8752,5000,26911.703125,2
0.18480674998136237,0.0,0.8881434875408263,diagonal,1.0,16,20,0.028763305646280588,hilbert_sort,0.8752,5000,26911.703125,2
0.0011684589844662696,0.0,0.8771550831828168,diagonal,1.0,16,20,0.004344629295148299,principal_sort,0.8752,5000,26911.703125,2
0.027038416010327637,0.0,0.8824798306996902,diagonal,1.0,16,20,0.016177401554867046,h3_sort,0.8752,5000,26911.703125,2
0.3227672920038458,0.0,0.9003858095168485,diagonal,1.0,16,20,0.0559684655929967,s2_sort,0.8752,5000,26911.703125,2
0.032862542022485286,0.0,0.8773317038432656,diagonal,1.0,16,20,0.004737119651701443,geohash_sort,0.8752,5000,26911.703125,2
8.66670161485672e-05,0.009380333998706192,0.20091297216393159,uniform,1.252,16,20,0.055806604808736844,rdt_stable,0.1254,5000,26919.2109375,3
0.0010131659801118076,0.0,1.2625513039377367,uniform,1.096,16,20,0.9958917865283035,modulo_hash,0.7952,5000,26919.2109375,3
0.07932812499348074,0.0,0.6758938806085578,uniform,1.168,16,20,0.9966530680190173,jump_hash,0.1938,5000,26919.2109375,3
0.43971758300904185,0.0,0.6617730257512088,uniform,1.088,16,20,0.9946067238915749,rendezvous_hash,0.1966,5000,26919.2109375,3
0.053886957990471274,0.0,0.7343724839286319,uniform,1.32,16,20,0.9959388531747374,virtual_node_hash,0.2222,5000,26919.2109375,3
0.0005625410121865571,0.0,0.9084559666670009,uniform,1.088,16,20,0.0503465925933353,grid,0.8682,5000,26919.2109375,3
0.001304083998547867,0.0,0.9236819271508087,uniform,1.0,16,20,0.10773761589068592,morton_sort,0.8752,5000,26919.2109375,3
0.20275970801594667,0.0,0.9049337672550573,uniform,1.0,16,20,0.06607503834457175,hilbert_sort,0.8752,5000,26919.2109375,3
0.0011865840060636401,0.0,1.0824358010791193,uniform,1.0,16,20,0.46052400239804275,principal_sort,0.8752,5000,26919.2109375,3
0.028066500002751127,0.0,1.0912548393218497,uniform,1.0,16,20,0.4801218651596661,h3_sort,0.8752,5000,26919.2109375,3
0.3244033329829108,0.0,0.9559935197872724,uniform,1.0,16,20,0.1795411550828276,s2_sort,0.8752,5000,26919.2109375,3
0.03283566702157259,0.0,0.9279050119855182,uniform,1.0,16,20,0.1171222488567073,geohash_sort,0.8752,5000,26919.2109375,3
7.991600432433188e-05,0.008964375010691583,0.28550233807806075,clustered,1.252,16,20,0.035782973506801624,rdt_stable,0.219,5000,26921.0625,3
0.0010677500104065984,0.0,1.2622110905486794,clustered,1.096,16,20,0.9951357567748431,modulo_hash,0.7952,5000,26921.0625,3
0.07955699999001808,0.0,0.6763088882645389,clustered,1.168,16,20,0.997575307254531,jump_hash,0.1938,5000,26921.0625,3
0.4358222500013653,0.0,0.6625706574344485,clustered,1.088,16,20,0.9963792387432188,rendezvous_hash,0.1966,5000,26921.0625,3
0.05446812498848885,0.0,0.7348136683991444,clustered,1.32,16,20,0.9969192631092095,virtual_node_hash,0.2222,5000,26921.0625,3
0.0005651250248774886,0.0,1.1374941670236183,clustered,2.8867999999999996,16,20,0.022520371163596016,grid,0.75,5000,26921.0625,3
0.001323250005953014,0.0,0.8992490862513195,clustered,1.0,16,20,0.05344241389182111,morton_sort,0.8752,5000,26921.0625,3
0.1985084580082912,0.0,0.9003981833909215,clustered,1.0,16,20,0.05599596309093673,hilbert_sort,0.8752,5000,26921.0625,3
0.0011684160272125155,0.0,0.90182603011581,clustered,1.0,16,20,0.059168955812911116,principal_sort,0.8752,5000,26921.0625,3
0.02780529099982232,0.0,0.9602391494797411,clustered,1.0,16,20,0.18897588773275797,h3_sort,0.8752,5000,26921.0625,3
0.33185262500774115,0.0,0.9434330974429741,clustered,1.0,16,20,0.1516291054288315,s2_sort,0.8752,5000,26921.0625,3
0.03316620801342651,0.0,0.9159417346021065,clustered,1.0,16,20,0.09053718800468122,geohash_sort,0.8752,5000,26921.0625,3
8.895900100469589e-05,0.009734332998050377,0.17855973425596172,diagonal,1.252,16,20,0.006132742791026016,rdt_stable,0.1254,5000,26934.5390625,3
0.000983416015515104,0.0,1.2615247591764507,diagonal,1.096,16,20,0.9936105759476678,modulo_hash,0.7952,5000,26934.5390625,3
0.07821562499157153,0.0,0.6757763018340112,diagonal,1.168,16,20,0.9963917818533581,jump_hash,0.1938,5000,26934.5390625,3
0.44035312498454005,0.0,0.6620220877934745,diagonal,1.088,16,20,0.9951601950966098,rendezvous_hash,0.1966,5000,26934.5390625,3
0.05384449998382479,0.0,0.7340529663723245,diagonal,1.32,16,20,0.995228814160721,virtual_node_hash,0.2222,5000,26934.5390625,3
0.000560707994736731,0.0,0.9685070675737658,diagonal,1.8684,16,20,0.027615705719479456,grid,0.7824,5000,26934.5390625,3
0.001245416991878301,0.0,0.8772665228346285,diagonal,1.0,16,20,0.004592272965841174,morton_sort,0.8752,5000,26934.5390625,3
0.18401962501229718,0.0,0.8887615601161403,diagonal,1.0,16,20,0.030136800258089527,hilbert_sort,0.8752,5000,26934.5390625,3
0.0014480829995591193,0.0,0.8770825204890274,diagonal,1.0,16,20,0.004183378864505313,principal_sort,0.8752,5000,26934.5390625,3
0.027796707989182323,0.0,0.8821217041324535,diagonal,1.0,16,20,0.01538156473878565,h3_sort,0.8752,5000,26934.5390625,3
